[2024-03-29T11:42:30.302+0000] {subprocess.py:93} INFO -   9150K .......... .......... .......... .......... .......... 23%  180M 8s
[2024-03-29T11:42:30.367+0000] {subprocess.py:93} INFO -   9200K .......... .......... .......... .......... .......... 24%  462M 8s
[2024-03-29T11:42:30.470+0000] {subprocess.py:93} INFO -   9250K .......... .......... .......... .......... .......... 24%  418M 8s
[2024-03-29T11:42:30.543+0000] {subprocess.py:93} INFO -   9300K .......... .......... .......... .......... .......... 24%  213M 8s
[2024-03-29T11:42:30.599+0000] {subprocess.py:93} INFO -   9350K .......... .......... .......... .......... .......... 24%  293M 8s
[2024-03-29T11:42:30.616+0000] {subprocess.py:93} INFO -   9400K .......... .......... .......... .......... .......... 24%  380M 8s
[2024-03-29T11:42:30.634+0000] {subprocess.py:93} INFO -   9450K .......... .......... .......... .......... .......... 24%  302M 8s
[2024-03-29T11:42:30.635+0000] {subprocess.py:93} INFO -   9500K .......... .......... .......... .......... .......... 24%  267M 8s
[2024-03-29T11:42:30.680+0000] {subprocess.py:93} INFO -   9550K .......... .......... .......... .......... .......... 24%  236K 9s
[2024-03-29T11:42:30.720+0000] {subprocess.py:93} INFO -   9600K .......... .......... .......... .......... .......... 25%  356K 9s
[2024-03-29T11:42:30.758+0000] {subprocess.py:93} INFO -   9650K .......... .......... .......... .......... .......... 25%  615K 9s
[2024-03-29T11:42:30.799+0000] {subprocess.py:93} INFO -   9700K .......... .......... .......... .......... .......... 25% 3.86M 9s
[2024-03-29T11:42:30.894+0000] {subprocess.py:93} INFO -   9750K .......... .......... .......... .......... .......... 25%  885K 9s
[2024-03-29T11:42:30.935+0000] {subprocess.py:93} INFO -   9800K .......... .......... .......... .......... .......... 25% 1.60M 9s
