[2024-04-02T13:54:15.927+0000] {subprocess.py:93} INFO -   7150K .......... .......... .......... .......... .......... 18% 30.5M 4s
[2024-04-02T13:54:15.928+0000] {subprocess.py:93} INFO -   7200K .......... .......... .......... .......... .......... 18% 25.5M 4s
[2024-04-02T13:54:15.928+0000] {subprocess.py:93} INFO -   7250K .......... .......... .......... .......... .......... 18% 14.1M 4s
[2024-04-02T13:54:15.929+0000] {subprocess.py:93} INFO -   7300K .......... .......... .......... .......... .......... 19% 42.0M 4s
[2024-04-02T13:54:15.930+0000] {subprocess.py:93} INFO -   7350K .......... .......... .......... .......... .......... 19% 28.2M 4s
[2024-04-02T13:54:15.931+0000] {subprocess.py:93} INFO -   7400K .......... .......... .......... .......... .......... 19% 12.3M 4s
[2024-04-02T13:54:15.936+0000] {subprocess.py:93} INFO -   7450K .......... .......... .......... .......... .......... 19% 41.0M 4s
[2024-04-02T13:54:15.938+0000] {subprocess.py:93} INFO -   7500K .......... .......... .......... .......... .......... 19% 28.1M 4s
[2024-04-02T13:54:15.940+0000] {subprocess.py:93} INFO -   7550K .......... .......... .......... .......... .......... 19% 25.9M 4s
[2024-04-02T13:54:15.941+0000] {subprocess.py:93} INFO -   7600K .......... .......... .......... .......... .......... 19% 25.8M 4s
[2024-04-02T13:54:15.942+0000] {subprocess.py:93} INFO -   7650K .......... .......... .......... .......... .......... 20% 66.7M 4s
[2024-04-02T13:54:15.947+0000] {subprocess.py:93} INFO -   7700K .......... .......... .......... .......... .......... 20% 27.7M 4s
[2024-04-02T13:54:15.953+0000] {subprocess.py:93} INFO -   7750K .......... .......... .......... .......... .......... 20% 81.9M 4s
[2024-04-02T13:54:15.955+0000] {subprocess.py:93} INFO -   7800K .......... .......... .......... .......... .......... 20% 30.7M 4s
[2024-04-02T13:54:15.959+0000] {subprocess.py:93} INFO -   7850K .......... .......... .......... .......... .......... 20% 29.7M 4s
[2024-04-02T13:54:15.962+0000] {subprocess.py:93} INFO -   7900K .......... .......... .......... .......... .......... 20% 59.2M 4s
[2024-04-02T13:54:15.965+0000] {subprocess.py:93} INFO -   7950K .......... .......... .......... .......... .......... 20% 25.8M 4s
