[2024-03-29T11:42:26.860+0000] {subprocess.py:93} INFO -   5500K .......... .......... .......... .......... .......... 14% 12.7M 11s
[2024-03-29T11:42:26.894+0000] {subprocess.py:93} INFO -   5550K .......... .......... .......... .......... .......... 14% 1.22M 11s
[2024-03-29T11:42:26.932+0000] {subprocess.py:93} INFO -   5600K .......... .......... .......... .......... .......... 14% 27.1M 11s
[2024-03-29T11:42:27.035+0000] {subprocess.py:93} INFO -   5650K .......... .......... .......... .......... .......... 14% 62.8M 11s
[2024-03-29T11:42:27.081+0000] {subprocess.py:93} INFO -   5700K .......... .......... .......... .......... .......... 14% 86.7M 11s
[2024-03-29T11:42:27.131+0000] {subprocess.py:93} INFO -   5750K .......... .......... .......... .......... .......... 15% 13.7M 11s
[2024-03-29T11:42:27.210+0000] {subprocess.py:93} INFO -   5800K .......... .......... .......... .......... .......... 15% 17.5M 11s
[2024-03-29T11:42:27.231+0000] {subprocess.py:93} INFO -   5850K .......... .......... .......... .......... .......... 15% 15.2M 11s
[2024-03-29T11:42:27.241+0000] {subprocess.py:93} INFO -   5900K .......... .......... .......... .......... .......... 15% 3.87M 11s
[2024-03-29T11:42:27.246+0000] {subprocess.py:93} INFO -   5950K .......... .......... .......... .......... .......... 15% 6.90M 11s
[2024-03-29T11:42:27.262+0000] {subprocess.py:93} INFO -   6000K .......... .......... .......... .......... .......... 15% 2.30M 11s
[2024-03-29T11:42:27.264+0000] {subprocess.py:93} INFO -   6050K .......... .......... .......... .......... .......... 15% 8.09M 11s
[2024-03-29T11:42:27.265+0000] {subprocess.py:93} INFO -   6100K .......... .......... .......... .......... .......... 16% 6.58M 11s
[2024-03-29T11:42:27.265+0000] {subprocess.py:93} INFO -   6150K .......... .......... .......... .......... .......... 16% 5.91M 11s
[2024-03-29T11:42:27.266+0000] {subprocess.py:93} INFO -   6200K .......... .......... .......... .......... .......... 16% 11.1M 10s
[2024-03-29T11:42:27.269+0000] {subprocess.py:93} INFO -   6250K .......... .......... .......... .......... .......... 16% 10.7M 10s
[2024-03-29T11:42:27.273+0000] {subprocess.py:93} INFO -   6300K .......... .......... .......... .......... .......... 16% 4.99M 10s
[2024-03-29T11:42:27.288+0000] {subprocess.py:93} INFO -   6350K .......... .......... .......... .......... .......... 16% 1.80M 10s
[2024-03-29T11:42:27.325+0000] {subprocess.py:93} INFO -   6400K .......... .......... .......... .......... .......... 16% 1.89M 10s
[2024-03-29T11:42:27.335+0000] {subprocess.py:93} INFO -   6450K .......... .......... .......... .......... .......... 16% 2.38M 10s
[2024-03-29T11:42:27.376+0000] {subprocess.py:93} INFO -   6500K .......... .......... .......... .......... .......... 17% 3.62M 10s
[2024-03-29T11:42:27.382+0000] {subprocess.py:93} INFO -   6550K .......... .......... .......... .......... .......... 17% 3.79M 10s
[2024-03-29T11:42:27.404+0000] {subprocess.py:93} INFO -   6600K .......... .......... .......... .......... .......... 17% 17.8M 10s
[2024-03-29T11:42:27.450+0000] {subprocess.py:93} INFO -   6650K .......... .......... .......... .......... .......... 17% 9.19M 10s
[2024-03-29T11:42:27.507+0000] {subprocess.py:93} INFO -   6700K .......... .......... .......... .......... .......... 17%  917K 10s
[2024-03-29T11:42:27.524+0000] {subprocess.py:93} INFO -   6750K .......... .......... .......... .......... .......... 17% 6.76M 10s
[2024-03-29T11:42:27.577+0000] {subprocess.py:93} INFO -   6800K .......... .......... .......... .......... .......... 17%  361M 10s
